n,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,heapMbPerNode,logDir
2,ok,5,4,0.252,18.963,91.501,1.306,3481,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
4,ok,7,5,0.516,26.347,170.342,1.413,1740,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
8,ok,7,10,0.707,55.459,364.286,1.583,870,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
16,ok,6,20,1.997,131.207,743.233,2.016,435,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
32,ok,9,30,6.915,190.463,1542.063,3.076,217,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
64,ok,9,67,15.834,506.402,3859.322,7.454,108,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
128,ok,9,125,173.982,2608.505,16953.409,37.822,54,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
256,timeout,,,,,,112.364,27,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
512,timeout,,,,,,143.478,13,/Users/vali/IdeaProjects/2026S-DS/sim4da-S26-pingpong/results/tokenring-20260528-132334
