runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,heapMbPerNode,logDir
90,896,1,ok,14,909,125.391,3888.553,33730.713,81.657,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
91,896,2,ok,11,928,116.431,4923.456,35418.405,80.546,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
92,896,3,ok,14,872,122.69,3692.467,33438.552,80.719,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
93,896,4,ok,17,929,112.192,3252.689,35466.485,85.172,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
94,896,5,ok,14,888,118.187,3877.27,32896.244,81.437,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
95,896,6,ok,13,938,122.792,4308.236,34776.598,82.937,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
96,896,7,ok,14,895,131.153,3811.55,34237.639,81.656,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
97,896,8,ok,14,895,121.756,3763.698,34753.748,82.453,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
98,896,9,ok,13,927,126.812,4184.166,34429.712,84.937,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
99,896,10,ok,15,850,125.04,3548.889,34305.814,82.86,9,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-191223
